month_number,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_units,total_profit
94,1879,1964,7457,11284,2476,1861,25108,267389
95,2139,2135,8365,10909,2329,1968,39701,357414
96,2618,1753,8085,15076,1743,1658,31157,300494
97,2483,1498,5348,9694,1182,1402,21098,238763
98,2641,1169,4573,6415,1846,1209,17313,173340
99,2149,1383,4795,9562,3867,1278,21174,192559
100,3472,1107,5866,8547,2038,1034,21910,199956
101,3705,1946,4883,7884,1465,1681,20782,208304
102,2848,1434,5244,7902,1752,1530,21550,181144
103,2873,1220,4460,9311,2080,1217,35423,285391
104,3708,1275,5719,9738,3025,1419,34442,360294
105,3418,1807,5905,7374,2086,1816,22005,214293
106,2077,1945,8919,10265,2219,2085,26807,245091
107,2304,2135,7297,13956,2662,2002,41539,408663
108,3064,1904,6981,17072,1785,1695,32977,299429
109,2404,1456,4570,10850,1039,1504,22746,179022
110,2621,1338,5653,6051,1967,1236,15746,215833
111,2190,1602,4986,8429,3068,1164,22150,183861
112,3451,1216,6691,8651,1852,1027,22372,198439
113,4191,1557,4183,7318,1778,1623,22112,194245
114,2655,1741,4715,7292,1764,1357,19476,214462
115,3662,981,5271,10315,1968,1145,28715,283303
116,3318,1500,5558,10070,2745,1533,39587,346729
117,3495,1757,6957,9048,2309,1486,22017,256499
118,2140,2160,8797,9905,2433,1910,26014,289715
119,2212,2371,6794,12991,2411,2319,41684,430587
120,2854,1746,8358,15328,1757,1667,31207,334083
